round_number,train_loss,train_accuracy,eval_loss,eval_accuracy,fit_duration_sec,network_delay_sec,comm_bytes_up,comm_bytes_down,num_clients
1,,,1.7650355306625367,0.3668,135.69774360899464,0.022511999999999994,14070000,14070000,6
2,,,1.5020918939590455,0.4571,135.02293404300144,0.022511999999999994,14070000,14070000,6
3,,,1.375381594657898,0.5001,135.37879588099895,0.022511999999999994,14070000,14070000,6
4,,,1.2838541898727418,0.537,134.81502132899914,0.022511999999999994,14070000,14070000,6
5,,,1.1913875909805298,0.5774,135.06210571499105,0.022511999999999994,14070000,14070000,6
6,,,1.1040158473968507,0.608,134.9865759830136,0.022511999999999994,14070000,14070000,6
7,,,1.0366058460235597,0.6419,135.2898300220113,0.022511999999999994,14070000,14070000,6
8,,,0.9848522753715515,0.6609,135.00106798300112,0.022511999999999994,14070000,14070000,6
9,,,0.9466089965820312,0.6721,135.05022949399427,0.022511999999999994,14070000,14070000,6
10,,,0.9043493594169617,0.686,134.74768391200632,0.022511999999999994,14070000,14070000,6
